date,ccy,term,rate,direction,pnl,close_date
2020-05-04,chf,1Y1Y,-0.8099589729365286,1,23970.32543227484,2020-06-02
2020-05-04,chf,9Y1Y,-0.06231182686623673,1,44727.314322673454,2020-06-02
2020-06-02,chf,4Y1Y,-0.46670791041820614,-1,-28177.14119694653,2020-07-01
2020-06-02,chf,4Y2Y,-0.3976024888207443,-1,-22242.609332575186,2020-07-01
2020-06-02,chf,4Y3Y,-0.33280639681529733,-1,-23185.92074618986,2020-07-01
2020-06-02,chf,2Y1Y,-0.692542067123462,1,29323.322751248772,2020-07-01
2020-06-02,chf,1Y2Y,-0.7256853128754476,1,26001.140257605744,2020-07-01
2020-06-02,chf,1Y1Y,-0.7590619922925441,1,22557.351518424308,2020-07-01
2020-07-01,chf,9Y1Y,0.14003734111816205,-1,111666.44176129099,2020-08-03
2020-07-01,chf,6Y1Y,-0.14114169662543427,-1,64035.77271766249,2020-08-03
2020-07-01,chf,3Y1Y,-0.5064072074198247,-1,29835.002372092855,2020-08-03
2020-07-01,chf,1Y2Y,-0.6692742445665192,1,-15043.800987661116,2020-08-03
2020-07-01,chf,7Y1Y,-0.0917134902702078,1,-45494.816012131356,2020-08-03
2020-07-01,chf,2Y1Y,-0.6309206830639128,1,-15620.007418468529,2020-08-03
2020-08-03,chf,4Y1Y,-0.4265112207617324,-1,-29850.968992442744,2020-09-01
2020-08-03,chf,4Y2Y,-0.3768010383896063,-1,-36246.13388038739,2020-09-01
2020-08-03,chf,3Y2Y,-0.49234511401405995,-1,-16945.32322713929,2020-09-01
2020-08-03,chf,1Y1Y,-0.7340669232461025,1,15782.210200145919,2020-09-01
2020-08-03,chf,1Y2Y,-0.6966994022858024,1,15926.616113570435,2020-09-01
2020-08-03,chf,2Y1Y,-0.659582715221158,1,16076.711591622161,2020-09-01
2020-09-01,chf,4Y1Y,-0.35070118593731736,-1,63028.72814666913,2020-10-01
2020-09-01,chf,4Y2Y,-0.29137882372951873,-1,68349.83953102924,2020-10-01
2020-09-01,chf,4Y3Y,-0.22937191596818163,-1,68697.67685577963,2020-10-01
2020-09-01,chf,2Y1Y,-0.6255909788878039,1,-43954.42348303763,2020-10-01
2020-09-01,chf,8Y2Y,0.03106528780675904,1,-43742.3524399221,2020-10-01
