point,t1,t2,aud,cad,nok,eur,gbp,jpy,nzd,sek,usd
15y14y,15,29,4.13915968585419,3.2768817224827473,2.63896303185516,2.108153910642104,3.762125190562584,2.0244751802275984,4.7629750229126016,2.007448402492903,3.3669520736018073
15y15y,15,30,4.112652939685919,3.247161781955575,2.6080527146807255,2.085118296753142,3.748160284757862,2.0168124318292167,4.749244135883806,1.9892808643499305,3.3432161121579327
16y1y,16,17,4.529374205870855,3.731916580180002,3.018522758955738,2.4818462668589096,3.9122581100813782,2.0953777984275903,4.811401871329243,2.38651733038628,3.706095176902181
16y2y,16,18,4.492001952801525,3.6950965988233984,2.98028902179757,2.4317209009416834,3.8977777821570054,2.115293328590269,4.81050007365634,2.3405149672371874,3.680907046389491
16y3y,16,19,4.453127271163926,3.6540753772388674,2.9423530566137317,2.3840617955051515,3.8837138098269004,2.1273087607073724,4.810910332098736,2.2941755920186933,3.6522325264587407
16y4y,16,20,4.41325853212275,3.6089502495852988,2.9049118833350063,2.3398926887899485,3.8704997642074273,2.130663424701,4.813187621155804,2.24803938872928,3.6198778800780618
16y5y,16,21,4.372964436441353,3.5604011199652605,2.8681276282297032,2.2997594710638025,3.8582646250194292,2.1255884223943218,4.817177422806852,2.2028215839983623,3.584225249419109
16y6y,16,22,4.332993455155973,3.5108471737248728,2.832057971154335,2.262780029829721,3.8462282839106887,2.115273776219625,4.820608212266681,2.1597594802108318,3.547375659174809
16y7y,16,23,4.294045424783327,3.4622338450786714,2.796789167718039,2.228461695531984,3.833858667237803,2.1020999038192216,4.821786264207435,2.1199484032985048,3.510961532272093
16y8y,16,24,4.256768159932716,3.415999853711097,2.762438056272811,2.1967285579511624,3.820888983488525,2.087582456705665,4.819635729358483,2.0843317393191856,3.4761140070656373
16y9y,16,25,4.22178655581431,3.3733591110434835,2.7291351204735763,2.1676900304540623,3.807170335188448,2.072852770601919,4.8133553367118695,2.0537854645261597,3.4437415358827024
16y10y,16,26,4.189475419268353,3.3349987367976883,2.696920791509911,2.141334796648902,3.792703286152922,2.058748200210375,4.802724962577363,2.0286518671815963,3.4143419120788785
16y11y,16,27,4.159355057740085,3.300071414813119,2.665494865546206,2.1169436659039667,3.777842139418408,2.045639532491109,4.789176232107222,2.00747830196103,3.387288591790437
16y12y,16,28,4.130936956815981,3.2676849659207687,2.6345570696179275,2.093822112044517,3.76296190078151,2.033834438065941,4.774193659189757,1.9887904981139553,3.3619131647709364
16y13y,16,29,4.103896708341673,3.237213995887403,2.603875867964548,2.0714423026124757,3.748386065086258,2.0236740956981865,4.758979133079299,1.9714558893572394,3.3377340223541614
16y14y,16,30,4.078015407269418,3.2082046115079565,2.573263896984127,2.049383545447848,3.734405032115222,2.015521228452021,4.7445528891079665,1.9545615637137441,3.3143896387534144
17y1y,17,18,4.454629699732201,3.658276617466802,2.94205528463939,2.3815955350244344,3.8832974542326197,2.135208858752942,4.809598275983437,2.2945126040880925,3.6557189158768177
17y2y,17,19,4.415003803810455,3.615154775768301,2.904268205442729,2.33516955982827,3.8694416596996564,2.1432742418472697,4.810664562483483,2.2480047228349025,3.6253012012370203
17y3y,17,20,4.374553307540049,3.567961472720401,2.867041591461428,2.292574829433624,3.8565803155827734,2.1424253001254736,4.813782871097993,2.2018800748436136,3.591138781136686
17y4y,17,21,4.333861994083977,3.517522254911577,2.83052884554819,2.25423777211502,3.8447662537539444,2.133141078386008,4.818621310676254,2.1568976474013843,3.553757767548342
17y5y,17,22,4.2937173050129935,3.4666332924338503,2.7947650135940547,2.21896678242388,3.833022318676551,2.1192529717780317,4.822449480454168,2.1144079101757454,3.515631755629336
17y6y,17,23,4.254823961268738,3.4172867225617845,2.7598335691784226,2.1862309336441608,3.8207920934305397,2.1032202547178276,4.823516996353798,2.0755202487838758,3.47843925816708
17y7y,17,24,4.217824439084409,3.370868892786969,2.725854527318105,2.155997456678626,3.807836251118118,2.0864688364596766,4.820811994791232,2.0411623691667433,3.4432595542318456
17y8y,17,25,4.183338099557241,3.32853942740142,2.692961665663305,2.1284205009034562,3.7940343633268316,2.0700371421237103,4.813599519884698,2.0121939812936462,3.4109473307552673
17y9y,17,26,4.15170888742363,3.2908967541996543,2.6611872395714853,2.1035001888477893,3.779419416827538,2.0546782448529064,4.801760861604934,1.9888890379366322,3.3819248826540678
17y10y,17,27,4.122353142927007,3.256886898276433,2.630192076205253,2.080453405808471,3.7644005423521114,2.040665705897461,4.786953668185019,1.9695743991185055,3.3554079332792615
17y11y,17,28,4.094715388720084,3.225482091897202,2.5996510978599447,2.058547188879571,3.749389518117885,2.028239587123973,4.770811094449804,1.9526335133619257,3.3306238909408226
17y12y,17,29,4.068440250214241,3.195988780529687,2.5693219603819495,2.037241972258607,3.7347300613366636,2.017698787137403,4.754610571558469,1.936867435938153,3.3070372594751603
